city,country,id,lat,long,temp,max_temp,humidity,cloud_coverage,wind_speed
Jamestown,US,5122534,42.1,-79.24,73.08,73.99,94,75,10.29
Parang,PH,1694775,7.37,124.27,86.41,86.41,63,95,2.15
Dingle,PH,1714733,11.0,122.67,82.13,82.13,81,100,3.31
Ovsyanka,RU,1495797,55.96,92.55,66.2,66.2,68,33,4.47
Polillo,PH,1693125,14.71,121.94,85.05,85.05,77,100,5.1
Nanortalik,GL,3421765,60.14,-45.24,45.82,45.82,95,100,3.83
Kirakira,SB,2178753,-10.45,161.92,85.41,85.41,71,72,9.66
Huarmey,PE,3939168,-10.07,-78.15,59.34,59.34,86,73,7.11
Tuatapere,NZ,2180815,-46.13,167.68,48.0,48.0,82,100,1.01
Yellowknife,CA,6185377,62.46,-114.35,64.4,64.4,88,75,6.93
Khatanga,RU,2022572,71.97,102.5,54.16,54.16,55,0,5.35
Yulara,AU,6355222,-25.24,130.99,62.6,62.6,33,0,14.99
Saldanha,ZA,3361934,-33.01,17.94,46.4,46.4,75,0,1.12
Puerto Ayora,EC,3652764,-0.74,-90.35,66.0,66.0,97,83,3.0
Hilo,US,5855927,19.73,-155.09,76.86,82.4,61,90,10.29
Tasiilaq,GL,3424607,65.61,-37.64,39.2,39.2,93,52,6.93
Albany,US,5106841,42.6,-73.97,80.33,84.0,77,41,5.37
Mataura,NZ,6201424,-46.19,168.86,48.0,48.0,82,100,1.01
Butaritari,KI,2110227,3.07,172.79,83.34,83.34,78,99,10.6
Arraial do Cabo,BR,3471451,-22.97,-42.03,71.73,71.73,81,0,24.36
Tūkrah,LY,88834,32.53,20.58,74.84,74.84,80,31,9.82
Aklavik,CA,5882953,68.22,-135.01,69.8,69.8,43,75,6.93
Mananjary,MG,1061335,-21.22,48.33,63.73,63.73,92,26,7.34
Pisco,PE,3932145,-13.7,-76.22,60.04,60.8,82,20,5.82
Tautira,PF,4033557,-17.73,-149.15,82.4,82.4,69,20,13.87
Vardø,NO,777019,70.37,31.11,57.43,57.43,81,0,8.16
Cape Town,ZA,3369157,-33.93,18.42,53.85,57.0,100,0,8.05
Terney,RU,2015352,45.05,136.61,71.17,71.17,68,27,6.85
Mossamedes,AO,3347019,-15.2,12.15,64.83,64.83,73,0,4.85
Port Moresby,PG,2088122,-9.44,147.18,86.0,86.0,74,40,16.11
