city,country,id,lat,long,temp,max_temp,humidity,cloud_coverage,wind_speed
Kirakira,SB,2178753,-10.45,161.92,85.41,85.41,71,72,9.66
Huarmey,PE,3939168,-10.07,-78.15,59.34,59.34,86,73,7.11
Tuatapere,NZ,2180815,-46.13,167.68,48.0,48.0,82,100,1.01
Yulara,AU,6355222,-25.24,130.99,62.6,62.6,33,0,14.99
Saldanha,ZA,3361934,-33.01,17.94,46.4,46.4,75,0,1.12
Puerto Ayora,EC,3652764,-0.74,-90.35,66.0,66.0,97,83,3.0
Mataura,NZ,6201424,-46.19,168.86,48.0,48.0,82,100,1.01
Arraial do Cabo,BR,3471451,-22.97,-42.03,71.73,71.73,81,0,24.36
Mananjary,MG,1061335,-21.22,48.33,63.73,63.73,92,26,7.34
Pisco,PE,3932145,-13.7,-76.22,60.04,60.8,82,20,5.82
Tautira,PF,4033557,-17.73,-149.15,82.4,82.4,69,20,13.87
Cape Town,ZA,3369157,-33.93,18.42,53.85,57.0,100,0,8.05
Mossamedes,AO,3347019,-15.2,12.15,64.83,64.83,73,0,4.85
Port Moresby,PG,2088122,-9.44,147.18,86.0,86.0,74,40,16.11
Mount Gambier,AU,2156643,-37.83,140.77,55.4,55.4,82,29,9.17
Ushuaia,AR,3833367,-54.8,-68.3,33.8,33.8,86,20,26.4
Vaini,TO,4032243,-21.2,-175.2,71.6,71.6,83,75,14.99
Punta Arenas,CL,3874787,-53.15,-70.92,33.39,33.8,55,47,5.82
Gizo Government Station,SB,2108857,-8.1,156.84,83.91,83.91,73,9,4.72
Rikitea,PF,4030556,-23.12,-134.97,72.48,72.48,82,92,13.44
Mar del Plata,AR,3430863,-38.0,-57.56,41.34,42.01,86,75,9.17
Itarema,BR,3393692,-2.92,-39.92,76.93,76.93,81,0,12.62
Grand Gaube,MU,934479,-20.01,57.66,66.99,66.99,82,38,3.0
Kinshasa,CD,2314302,-4.32,15.32,69.8,69.8,83,20,4.61
Port Alfred,ZA,964432,-33.59,26.89,54.77,54.77,68,0,7.43
New Norfolk,AU,2155415,-42.78,147.06,48.54,52.0,90,65,2.62
Alofi,NU,4036284,-19.06,-169.92,77.0,77.0,65,40,17.22
Victor Harbor,AU,2059470,-35.57,138.62,54.0,54.0,72,100,1.88
Lüderitz,NA,3355672,-26.65,15.16,53.6,53.6,93,0,2.24
Malindi,KE,187968,-3.22,40.12,76.1,76.1,80,6,18.16
